app_id,title,release_date,release_year,game_age_years,age_bucket,genres_clean,main_genre,categories_clean,developer,publisher,original_price_clean,discount_pct_clean,discounted_price_clean,final_price,is_free_to_play,is_on_sale,dlc_available,has_dlc,age_rating,age_rating_category,win_support,mac_support,linux_support,multi_platform,awards,is_early_access,overall_review,overall_review_pct,overall_review_count,log_overall_review_count,recent_review,recent_review_pct,recent_review_count,log_recent_review_count
614250,Carrier,2017-08-31,2017.0,7.3347022587268995,5-10y,casual;free to play,casual,single-player,Cuirass Entertainment Ltd.,Cuirass Entertainment Ltd.,,,0.0,0.0,True,False,0,False,0,All Ages,True,False,False,False,0,False,Positive,82.0,40.0,3.713572066704308,,,,0.0
601640,The guard of dungeon,2017-03-07,2017.0,7.819301848049282,5-10y,action;indie,action,"single-player, steam achievements, steam trading cards, family sharing",HeX,Laush Studio,730.0,30.0,511.0,511.0,False,True,1,True,0,All Ages,True,False,False,False,0,False,Mixed,57.0,47.0,3.8712010109078903,,,,0.0
389260,Lucid Trips,2017-01-12,2017.0,7.967145790554415,5-10y,adventure;indie;early access,adventure,"single-player, tracked controller support, vr only, family sharing","Nico Uthe, Sara Lisa Vogl, Julian Heinken",Sara Lisa Vogl,,,52.0,52.0,False,False,0,False,0,All Ages,True,False,False,False,2,True,Very Positive,82.0,73.0,4.304065093204169,,,,0.0
463400,Spellbound,2016-09-05,2016.0,8.320328542094456,5-10y,action;adventure;indie;rpg;early access,action,"single-player, tracked controller support, vr only, family sharing",Wobbly Duck Studios,Wobbly Duck Studios,,,565.0,565.0,False,False,0,False,0,All Ages,True,False,False,False,0,True,Mostly Positive,76.0,21.0,3.091042453358316,,,,0.0
222500,Rail Adventures - VR Tech Demo,2016-08-25,2016.0,8.350444900752908,5-10y,action;free to play;indie;racing,action,"single-player, tracked controller support, vr supported",exosyphen studios,exosyphen studios,,,0.0,0.0,True,False,0,False,0,All Ages,True,False,False,False,0,False,Mixed,50.0,40.0,3.713572066704308,,,,0.0
468530,A Date in the Park,2016-07-19,2016.0,8.451745379876797,5-10y,adventure,adventure,"single-player, steam achievements",Cloak and Dagger Games,Cloak and Dagger Games,,,0.0,0.0,True,False,1,True,0,All Ages,True,False,False,False,0,False,Very Positive,87.0,1723.0,7.452402451223638,Very Positive,86.0,15.0,2.772588722239781
449940,! That Bastard Is Trying To Steal Our Gold !,2016-03-03,2016.0,8.829568788501026,5-10y,action;adventure;casual;indie,action,"single-player, steam trading cards, family sharing",WTFOMGames,WTFOMGames,,,155.0,155.0,False,False,0,False,0,All Ages,True,False,True,True,0,False,Mixed,57.0,64.0,4.174387269895637,,,,0.0
413150,Stardew Valley,2016-02-26,2016.0,8.845995893223819,5-10y,indie;rpg;simulation,indie,"single-player, online co-op, lan co-op, shared/split screen co-op, steam achievements, steam trading cards, steam cloud, remote play on phone, remote play on tablet, remote play together, family sharing",ConcernedApe,ConcernedApe,,,479.0,479.0,False,False,1,True,1,7+,True,True,True,True,1,False,Overwhelmingly Positive,98.0,601034.0,13.306408448094558,Overwhelmingly Positive,98.0,15636.0,9.65739517984351
429940,The Sad Story of Emmeline Burns,2016-01-05,2016.0,8.988364134154688,5-10y,adventure;casual;indie,adventure,"single-player, steam achievements",ebi-hime,ebi-hime,,,0.0,0.0,True,False,0,False,0,All Ages,True,False,True,True,0,False,Very Positive,90.0,804.0,6.690842277418564,,,,0.0
359550,Tom Clancy's Rainbow Six® Siege,2015-12-01,2015.0,9.084188911704311,5-10y,action,action,"single-player, online pvp, online co-op, steam trading cards, in-app purchases, remote play on phone, remote play on tablet",Ubisoft Montreal,Ubisoft,,,999.0,999.0,False,False,9,True,0,All Ages,True,False,False,False,1,False,Very Positive,85.0,1090287.0,13.901952439488808,Mostly Positive,78.0,11181.0,9.32206062158659
